sentence,gold_binary,pred_binary,event_type
"knew <s>saddam hussein's regime</s> is no more, the focus in <t>iraq</t> is turning from military action to rebuilding which means the coalition's role in the country will have to change.",0,0,Business:End-Org
"So <t>Oracle</t> and <s>Peoplesoft</s>, who spent the last 18 months insulting one another in every imaginable way, are finally tying the knot ?",1,0,Business:Merge-Org
"<t>The ruling Millennium Democratic Party</t> (MDP), founded by <s>former president Kim Dae-Jung</s>, has suffered declining popularity since President Roh Moo-Hyun took office in February.",0,1,Business:Start-Org
"Founded by <s>former mayor Gholamhossein Karbaschi</s>, Hamshahri was quick to become <t>Iran</t>'s biggest-selling daily with a circulation of 450,000.",0,0,Business:Start-Org
"hamas was founded in 1988 by <s>a blind paraplegic cleric who was influenced by the islamic muslim brotherhood</s>, with backing from israel, he set up <t>sharities</t> in the improverished strip in the 1970s.",0,1,Business:Start-Org
"hamas was founded in 1988 by <s>a blind paraplegic cleric who was influenced by the islamic muslim brotherhood</s>, with backing from israel, he set up sharities in <t>the improverished strip</t> in the 1970s.",0,1,Business:Start-Org
"Also on Sunday, <s>South Korean lawmakers</s> said they would work to quickly set up <t>a special parliamentary committee</t> to deal with the North's nuclear issue.",0,0,Business:Start-Org
A <s>U.S.</s>-sponsored forum that brought Iraqi opposition leaders together to shape <t>the country's postwar government</t> began Tuesday with a <s>U.S.</s> promise not to rule Iraq and concluded with an agreement to meet again in 10 days.,0,0,Business:Start-Org
A <s>U.S.</s>-sponsored forum that brought <t>Iraq</t>i opposition leaders together to shape the country's postwar government began Tuesday with a <s>U.S.</s> promise not to rule <t>Iraq</t> and concluded with an agreement to meet again in 10 days.,0,0,Business:Start-Org
A U.S.-sponsored forum that brought <s>Iraqi opposition leaders</s> together to shape <t>the country's postwar government</t> began Tuesday with a U.S. promise not to rule Iraq and concluded with an agreement to meet again in 10 days.,0,0,Business:Start-Org
A U.S.-sponsored forum that brought <s><t>Iraq</t>i opposition leaders</s> together to shape the country's postwar government began Tuesday with a U.S. promise not to rule <t>Iraq</t> and concluded with an agreement to meet again in 10 days.,0,0,Business:Start-Org
"Eight-thirty-six a.m. Walter Rodgers reports according to Army sources, Iraqi officials are fleeing <t>Baghdad</t> in droves, using civilian convoys top avoid being targeted by <s>coalition</s> air strikes.",1,1,Conflict:Attack
"Eight-thirty-six a.m. Walter Rodgers reports according to Army sources, <t>Iraqi officials</t> are fleeing Baghdad in droves, using civilian convoys top avoid being targeted by <s>coalition</s> air strikes.",1,1,Conflict:Attack
"<s>Ba'asyir, 64</s>, was arrested on preliminary charges of involvement in a series of church bombings on the eve of the 2000 Christmas and an alleged plot to assassinate <t>Megawati Soekarnoputri</t> in 1999, when she was vice president.",1,1,Conflict:Attack
"<t>Three police stations in Haditha, a small town west of Ramadi</t>, were assaulted by <s>groups of insurgents</s>.",1,1,Conflict:Attack
"Three police stations in <t>Haditha</t>, a small town west of Ramadi, were assaulted by <s>groups of insurgents</s>.",1,1,Conflict:Attack
"<s>Toefting</s> was convicted in October 2002 of assaulting <t>a pair of restaurant workers</t> during a night out with national squad teammates in the capital, Copenhagen.",1,1,Conflict:Attack
"Chances are the Iraqis are going to continue to stick with what we've seen before, <s>irregular forces</s> blending in with civilians trying to attack <t>U.S. forces</t>, some more of these suicide attacks which are going to be problematic for our troops.",1,1,Conflict:Attack
the associated press is reporting that <s>u.s. troops</s> have launched an attack on <t>saddam international airport</t>.,1,1,Conflict:Attack
<t>a cruise ship</t> is being searched off the hawaii coast after two notes threatening <s>terrorist</s> attack were found on board.,1,1,Conflict:Attack
"The strike ordered by <s>sharon</s> against the palestinian leadership going, targeting <t>a top leader</t>, mr. rantissi who escaped the helicopter rocket attack on his motorcade.",1,1,Conflict:Attack
"``We do control <t>the highways in and out of the city</t> and do have the capability to interdict, to stop, to attack any Iraqi military forces that might try to either escape or to engage <s>our forces</s>,'' said Pace.",1,1,Conflict:Attack
"``We do control the highways in and out of the city and do have the capability to interdict, to stop, to attack <t>any Iraqi military forces</t> that might try to either escape or to engage <s>our forces</s>,'' said Pace.",1,1,Conflict:Attack
"An abortive attack on Soviet positions in <t>Mongolia</t> had placed <s>Japan</s>'s focus firmly south, towards the possessions of the US' future allies.",1,1,Conflict:Attack
<s>The Japanese terrorist cult Aum Shinrikyo</s>--which launched the infamous Sarin gas attack on the <t>Tokyo subway system</t> in 1995--was discovered to have experimented with the use of lasers as weapons.,1,1,Conflict:Attack
"US President George W. Bush condemned the ""attack on innocents in <t>Israel</t>,"" White House spokesman Ari Fleischer said, adding that ""his message to <s>the terrorists</s> is: Their efforts will not be succcessful.",1,1,Conflict:Attack
"US President George W. Bush condemned the ""attack on <t>innocents in Israel</t>,"" White House spokesman Ari Fleischer said, adding that ""his message to <s>the terrorists</s> is: Their efforts will not be succcessful.",1,1,Conflict:Attack
We get reports that <t>these civilians</t> especially in the (INAUDIBLE) population have been attacked by <s>the Iraqi regime themselves</s> so they can't blame the American and said look what the American doing to us.,1,1,Conflict:Attack
We get reports that these civilians especially in <t>the (INAUDIBLE) population</t> have been attacked by <s>the Iraqi regime themselves</s> so they can't blame the American and said look what the American doing to us.,1,1,Conflict:Attack
The group is also claiming that <s>Islamic Jihad militants</s> are already inside Iraq to carry out attacks against <t>U.S. and British forces</t>.,1,1,Conflict:Attack
They don't want to rock the boat now by attempting to starve out <s>the mullahs' terror agent</s> that conducts the proxy attacks against <t>Israel</t> that Iran cannot afford to do itself openly.,1,1,Conflict:Attack
"Most <t>US army</t> commanders believe it is critical to pause the breakneck advance towards Baghdad to secure the supply lines and make sure weapons are operable and troops resupplied after days of powerful sandstorms and damage inflicted by <s>Iraqi</s> attacks, the Post reports.",1,1,Conflict:Attack
a reuters correspondent said <t>dozens of iraqi civilians and soldiers</t> were killed in what witnesses called a barrage of <s>u.s.</s> artillery.,1,1,Conflict:Attack
"``If <s>U.S. forces</s> seriously degrade Iraq's half-dozen Republican Guard divisions before that final battle, and only have to face perhaps <t>30,000 Special Republican Guard, fedayeen, and related personnel</t>, the task will not be as hard as it might have been,'' he said.",1,1,Conflict:Attack
<s>U.S. Marines</s> battled <t>snipers</t> as they fought deeper into the capital from the east.,1,1,Conflict:Attack
"while we do, we want to tell you <s>marines battling for control of the bridges in the southern city of nasiriyah</s> face stiff resistance from <t>iraqi paramilitary groups</t> today.",1,1,Conflict:Attack
"while we do, we want to tell you <s>marines battling for control of <t>the bridges in the southern city of nasiriyah</t></s> face stiff resistance from iraqi paramilitary groups today.",1,1,Conflict:Attack
"Police say <s>a suicide bomber</s> blew himself up outside <t>this cafe</t>, called The London Cafe, earlier Sunday afternoon.",1,1,Conflict:Attack
"From the south to the north in <t>the rolling hills of northern Iraq</t>, <s>coalition</s> air strikes targeted Iraqi positions today in what's been called a ferocious bombardment.",1,1,Conflict:Attack
"Tareq Ayyoub, a journalist with Al-Jazeera, died when a <s>U.S</s>. warplane bombed <t>the Arab-language satellite television's office</t>.",1,1,Conflict:Attack
