sentence,gold_root,pred_root
"The <s>US Congress</s> agreed to lift embargoes on pharmaceutical sales in late February to <t>Iran, Libya, North Korea, Sudan</t>, and with strings attached, Cuba.",AGREE,AGREE
"The <s>US Congress</s> agreed to lift embargoes on pharmaceutical sales in late February to Iran, Libya, North Korea, Sudan, and with strings attached, <t>Cuba</t>.",AGREE,AGREE
Senior <s>Hungarian</s> and <t>Romanian</t> officials agreed on Wednesday that their countries should cooperate to encourage <t>Romanian</t> refugees in Hungary to return home.,AGREE,AGREE
"The <s>Asia-Pacific Economic Cooperation</s> (APEC) forum has agreed to set up an energy research center in <t>Tokyo</t> to further develop its regional energy projections, officials said Thursday.",AGREE,AGREE
"The <s>United States</s> and <t>Jordan</t> have agreed upon a new free-trade pact between the two countries, the White House announced Tuesday.",AGREE,AGREE
"<s>Jordan</s> and <t>Britain</t> have agreed to undertake joint military exercises this month, a <s>Jordan</s>ian official confirmed.",AGREE,AGREE
"<s>Libya</s> has offered to hand over to an <t>Arab country</t> two of its nationals suspected by the West of blowing up a Pan Am plane in 1988, a state-owned Egyptian newspaper said.",AGREE,AID
"<s>Israel</s> and the <t>Palestinians</t> reached a consensus to exchange information on water resources on the second day of a multilateral conference on water problems in the Middle East here Thursday, the meeting's co-chairman said.",AGREE,AGREE
"The <s>Turkish-Cypriot</s> and <t>Greek-Cypriot</t> sides of this divided Mediterranean island have agreed to share information Friday on missing people from both communities, a UN official said on Monday.",AGREE,AGREE
"<s>Portugal</s> will support <t>Turkey</t>'s efforts to become a full member of the European Community, Portuguese President Mario Soares said on Tuesday.",AGREE,SUPPORT
<s>Hungary</s> has said it will support a <t>U.N. Security Council</t> resolution that aims to tighten sanctions and impose a naval blockade against neighboring Yugoslavia.,AGREE,SUPPORT
"<s>NATO-member Norway</s> is willing to send material to help defend <t>Saudi Arabia</t> if it is attacked, Norway's foreign minister said.",AGREE,AGREE
"<s>Finland</s> will give <t>Tanzania</t> a grant of 580 million shillings (64.45 million dollars) over the next three years to finance several projects in the country, a statement issued by the ministry of finance said today.",AGREE,AID
<s>European Community</s> foreign ministers agreed in principle on Saturday to provide about 70 million dollars of aid for <t>Romania and Poland</t>.,AGREE,AGREE
<s>British Defence Secretary Tom King</s> has promised to continue military aid to war-torn <t>Mozambique</t>.,AGREE,AGREE
<s>Syria</s> has again offered its troops to <t>Lebanon's new President Elias Hrawi</t> to help him oust General Michel Aoun from the Christian enclave Aoun controls.,AGREE,AGREE
"The <s>United Nations</s> will provide nearly 25,000 tons of emergency food aid to <t>refugees fleeing the civil war in Liberia</t>, the World Food Program (WFP) said on Monday.",AGREE,AID
"<s>France</s> is ready to contribute up to 4,000 troops to an international peace-keeping force in <t>Yugoslavia</t>, Defence Minister Pierre Joxe said on Monday.",AGREE,AID
The <s>Security Council</s> today agreed to a six-month extension of the mandate for the peacekeeping force in <t>Lebanon</t> (UNIFIL) despite Israel's wish for a shorter period.,AGREE,AGREE
"Ousted <s>President Askar Akayev</s> has agreed to resign without returning to the <t>Kyrgyzstan</t>, the Parliament speaker said Saturday.",AGREE,AGREE
"<s>Planning and Investment Minister Tran Xuan Gia</s> said <t>Vietnam</t> is committed to opening up the economy but will not be rushed, in a rare interview late on Friday.",AGREE,CONSULT
"<s>Turkey</s> will allow up to 13,000 <t>Turkish Kurd refugees</t> who have lived in Iraq for more than a decade to return home as part of a UN-brokered deal.",AGREE,AID
<s><t>Serbia</t>n President Vojislav Kostunica</s> promised to democratize <t>Serbia</t> and establish the rule of law as he succeeded Milosevic.,AGREE,AGREE
"A <s>Soviet official</s> offered concessions last November that <t>U.S. negotiator</t> Paul Nitze believed could lead to an agreement on reducing nuclear missiles in Europe, according to a senator who acted as a go-between at the talks.",AGREE,AGREE
"In an interview this weekend, <s>President Abdelaziz Bouteflika</s> said he is prepared to lift ban on <t>Islamic Salvation Front</t> (FIS) but not with its historical leadership.",AGREE,YIELD
Leaders of the <s>Azadliq (Freedom)</s> opposition coalition agreed to postpone the demonstration in <t>Baku</t> until 9 November.,AGREE,AGREE
"The <s>Fijian rebels</s> said they will release <t>Prime Minister Mahendra Chaudhry</t> and more than 30 members of his government, whom they had taken hostage two weeks ago, on the weekend.",AGREE,YIELD
"The rebel <s>Revolutionary United Front (RUF)</s> announced it will return weapons and military equipment seized last year from <t>United Nations peacekeepers</t>, according to reports reaching here from the country's capital Freetown.",AGREE,YIELD
